Tweet	Tweet Datetime	Twitter Username	Twitter User Location	len	Tweets_Clean	Sentiment
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:34	Fabio Scala	London, UK	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:32	Rafael Carvalho	Portugal	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:30	Emmanuel	London, England	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:23	Further Markets	London, England	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:17	Further Africa	London, England	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
National Drug Authority Approves COVIDEX For Treatment 	2021-06-29 09:25:33	Pernille Bærendtsen	Copenhagen, Denmark	55	national drug authority approves covidex treatment	Neutral
"region’s most vulnerable, while also paralyzing #investment #productivity #growth"" @KGeorgieva @IMFnews. ""In short,… "	2021-06-29 09:00:07	André Castro	Bonn, Germany	117	region vulnerable also paralyzing #productivity #growth @kgeorgieva @imfnews short	Negative
#Zambia Bars, taverns and casinos closed as the government enforces new measures to prevent further spread of… 	2021-06-29 08:58:39	Africafrique Africanews	Africa	111	#zambia bars taverns casinos closed government enforces measures prevent spread	Neutral
"Interactive map updated weekly to follow the spread of the #pandemic across #Africa 
"	2021-06-29 07:45:06	The Africa Report	Paris, France	85	interactive map updated weekly follow spread across	Neutral
"Remote work is a challenging task. Connect with us to know more.
IMF says Africa urgently needs vaccines to halt repeated COVID waves @SightMagazine #IMF #Africa #COVID19… "				172	remote work challenging task connect know imf says africa urgently needs vaccines halt repeated waves @sightmagazine #imf	Neutral
				0		Neutral
Coronavirus - South Africa: COVID-19 Statistics for RSA (28 June 2021) @nicd_sa #Africa #SouthAfrica #Health… 	2021-06-28 19:29:06	APO Group English	#AFRICA #MENA	110	south africa statistics rsa 28 @nicd_sa #southafrica	Neutral
Coronavirus - Malawi: COVID-19 Daily Info Update (27 June 2021) @health_malawi #Africa #Malawi #Health… 	2021-06-28 18:36:59	APO Group English	#AFRICA #MENA	104	malawi daily info update 27 @health_malawi #malawi	Neutral
Coronavirus - Malawi: COVID-19 Daily Info Update (27 June 2021) @health_malawi #Africa #Malawi #Health… 	2021-06-28 18:34:34	APO Group English	#AFRICA #MENA	104	malawi daily info update 27 @health_malawi #malawi	Neutral
At least 14 countries in #Africa have used up all or most of their #vaccine stocks. But at least 23 others still ha… 	2021-06-28 18:21:00	The New Humanitarian		117	least 14 countries used stocks least others still	Neutral
"#Coronavirus #Africa #DeltaVariant
COVID surges across Africa with less than 1% vaccinated
"	2021-06-28 15:44:40	Xi Hún Dàn 混蛋		91	#deltavariant surges across africa less vaccinated	Neutral
Coronavirus – Kenya: COVID-19 Update (27 June 2021) @MOH_Kenya #Africa #Kenya #Health #InfectiousDisease… 	2021-06-28 13:26:37	APO Group English	#AFRICA #MENA	106	– kenya update 27 @moh_kenya #kenya #infectiousdisease	Neutral
Scaling up active surveillance for COVID-19 and training community health workers to contain its spread @WHOEMRO… 	2021-06-28 13:03:33	APO Group English	#AFRICA #MENA	114	scaling active surveillance training community health workers contain spread @whoemro	Neutral
"Passengers from the Southern African region not allowed to enter SL from 01st July
READ MORE:… "	2021-06-28 12:23:04	Newsfirst.lk Sri Lanka	Colombo, Sri Lanka	95	passengers southern african region allowed enter sl 01st july read	Neutral
"Update on the number of new #covid19 cases and deaths reported in #Africa. 
Yesterday, there were 27,555 new cases… "	2021-06-28 11:50:48	Beautify Data	Miramar, Florida	116	update number cases deaths reported yesterday 27,555 cases	Neutral
"First trial #Participants vaccinated with #Oxford COVID-19 variant vaccine 
"	"Mozambique"""			76	first trial vaccinated variant vaccine	Neutral
"#COVID-19 #coronavirus restrictions tighten in South #Africa ... 
| #SARSCoV2 | #pandemic | #SouthAfrica |… "	2021-06-28 11:00:19	Microbes.info	Earth	108	#covid-19 restrictions tighten south #sarscov2 #southafrica	Neutral
"Start the week with some #pandemic updates
"				43	start week updates	Neutral
				0		Neutral
Coronavirus - South Africa: COVID-19 Statistics in South Africa (27 June 2021) @HealthZA #SouthAfrica #Health… 	2021-06-28 07:53:31	APO Group English	#AFRICA #MENA	111	south africa statistics south africa 27 @healthza #southafrica	Neutral
Coronavirus - Eswatini: COVID-19 daily info update (27 June 2021) @EswatiniGovern1 #Eswatini #Health #Pandemic… 	2021-06-28 07:32:33	APO Group English	#AFRICA #MENA	112	eswatini daily info update 27 @eswatinigovern1 #eswatini	Neutral
Coronavirus - Rwanda: COVID-19 update (27 June 2021) @RwandaHealth #Rwanda #Health #Pandemic #COVID19 #Testing… 	2021-06-28 06:30:04	APO Group English	#AFRICA #MENA	112	rwanda update 27 @rwandahealth #rwanda #testing	Neutral
"Are African nations doing enough to curb COVID-19?
The World Health Organization ( #WHO) is warning of a third wave… "	2021-06-28 06:28:03	hypergrowth	Singapore	117	african nations enough curb world health organization #who warning third wave	Neutral
"#WHO worries over spread of #DeltaVariant across #Africa. #Covid_19 #coronavirus
"	2021-06-27 21:29:49	Moritz zu Hause Bleiben 🇪🇺		81	#who worries spread #deltavariant across #covid_19	Negative
Africans ‘dangerously exposed’ by lack of Covid jabs, says WHO 	2021-06-27 17:29:52	Action Africa	Washington, DC	63	africans dangerously exposed lack jabs says	Negative
South #Africa reported over 19,000 new #coronavirus infections which are said to be fueled by the highly transmissi… 	2021-06-27 15:44:14	Steve Kuriigamba	Kampala, Uganda	117	south reported 19,000 infections said fueled highly transmissi	Negative
Coronavirus - Kenya: COVID-19 Update (26 June 2021) @MOH_Kenya #Africa #Kenya #Health #InfectiousDisease… 	2021-06-27 12:58:18	APO Group English	#AFRICA #MENA	106	kenya update 26 @moh_kenya #kenya #infectiousdisease	Neutral
A day in the life of Gabezech,There were many people who lost their home... 	2021-06-27 12:14:42	Zaffar	Punjab, India	76	day life gabezech many people lost home	Negative
This video sums up the pandemic &amp; people not using common sense it’s a bad ripple effect ... 👀 #GetVaccinated… 	2021-06-27 12:10:38	SavsMom	Covering the Globe	115	video sums pandemic people using common sense bad ripple effect 👀 #getvaccinated	Negative
African Development Bank 2021 Annual Meetings: Members show support for plan to tackle Covid-19 @AfDB_Group… 	2021-06-27 10:51:11	APO Group English	#AFRICA #MENA	109	african development bank annual meetings members show support plan tackle @afdb_group	Positive
"🇺🇬⚕️🦠
Child labour in Uganda: The hidden costs of Covid "				56	🇺 🇬 ⚕ ️ 🦠 child labour uganda hidden costs	Neutral
World Bank and #AfricanUnion Team Up to Support Rapid Vaccination for Up to 400 million People in Africa… 	2021-06-27 06:11:43	Action Africa	Washington, DC	106	world bank #africanunion team support rapid vaccination 400 million people africa	Positive
Supporting Science in Africa’s Pandemic Response 				49	supporting science africa pandemic response	Positive
				0		Neutral
"What is your preference? Let us know. Connect with us to know more.
Africa battles new COVID-19 wave hitting faster and harder "				127	preference let know connect know africa battles wave hitting faster harder	Positive
Africa CDC says continent not winning against 'brutal' COVID-19 pandemic 				73	africa cdc says continent winning brutal pandemic	Neutral
| #SARSCoV2 | #Infections | #Africa |… 	2021-06-26 23:00:24	Microbes.info	Earth	39	#sarscov2 #infections	Negative
Pratibha Thaker, editorial director for the #MiddleEast and #Africa @TheEIU, talks about forecasting #SaudiArabia’s… 	2021-06-26 19:10:35	Global Tactics	Seattle, WA	117	pratibha thaker editorial director #middleeast @theeiu talks forecasting #saudiarabia	Neutral
"🇺🇬⚕️🦠
Child labour in Uganda: The hidden costs of Covid "	"India """			56	🇺 🇬 ⚕ ️ 🦠 child labour uganda hidden costs	Neutral
African Development Bank 2021 Annual Meetings: Members show support for plan to tackle Covid-19 @AfDB_Group… 	2021-06-26 12:22:06	APO Group English	#AFRICA #MENA	109	african development bank annual meetings members show support plan tackle @afdb_group	Positive
Wow. It’s very true #covidnsw #covid #COVID #wuhanvirus #chinavirus started in #china #wuhan #WuhanLabLeak… 	2021-06-26 05:33:32	Taylor	Paris, France	108	wow true #covidnsw #wuhanvirus #chinavirus started #china #wuhan #wuhanlableak	Positive
The situation in #Africa, where new infections and deaths jumped by nearly 40% last week compared to the previous w… 	2021-06-26 04:08:00	The Daily Star	Bangladesh	117	situation infections deaths jumped nearly 40 last week compared previous w	Negative
"Covid-19: 'Just give us the vaccines,' WHO pleads, as poor countries go wanting 
The situation in #Africa is ""so d… "	2021-06-26 04:01:59	Shuja Ahmed Ch.	Dubai, UAE	116	give vaccines pleads poor countries go wanting situation	Negative
"Covid-19: 'Just give us the vaccines,' WHO pleads, as poor countries go wanting 
The situation in #Africa is ""so d… "	2021-06-26 03:41:59	Khaleej Times	United Arab Emirates	116	give vaccines pleads poor countries go wanting situation	Negative
Meet Mr. @soulaceafrica, who against all odds, has worked relentlessly to foster #peace in #Nigeria and beyond.… 	2021-06-25 23:00:40	IMAssociates	Tempe, AZ, USA	113	meet mr @soulaceafrica odds worked relentlessly foster #peace #nigeria beyond	Positive
"Interactive #map updated weekly to follow the spread of the #pandemic across #Africa 
"	2021-06-25 21:37:13	The Africa Report	Paris, France	86	interactive #map updated weekly follow spread across	Neutral
"Hello Everyone,
Are we seeing a repeat of the Indian COVID tragedy in Africa?
"	"Turkey"""			78	hello everyone seeing repeat indian tragedy africa	Negative
American epidemiologist: the time of the new coronavirus epidemic in the United States was earlier than the officia… 	2021-06-25 16:18:37	🇺🇳China-US News ⚑（🇨🇳 People's Think Tank News）	Grim reape.hura Forbidden Land	117	american epidemiologist time epidemic united states earlier officia	Negative
#Africa is facing a vicious #coronavirus resurgence, with unprecedented hospital admissions and fatalities pushing… 	2021-06-25 14:06:00	QantaraEN	Germany	116	facing vicious resurgence unprecedented hospital admissions fatalities pushing	Negative
"Update on the number of new #covid19 cases and deaths reported in #Africa. 
Yesterday, there were 33,699 new cases… "	2021-06-25 12:00:25	Beautify Data	Miramar, Florida	116	update number cases deaths reported yesterday 33,699 cases	Neutral
Africa is facing a vicious coronavirus resurgence, with unprecedented hospital admissions and fatalities pushing he… 	2021-06-25 12:00:00	Advocates Philippines	Makati City	117	africa facing vicious resurgence unprecedented hospital admissions fatalities pushing	Negative
Officials from the @WHO have warned that #Africa’s third wave of #coronavirus threatens to be its worst yet. Lack o… 	2021-06-25 11:15:00	A2 Global Risk		117	officials @who warned third wave threatens worst yet lack	Negative
#Africa is facing a major #coronavirus resurgence, with unprecedented hospital admissions and fatalities pushing he… 	2021-06-25 09:00:02	RFI English	Paris, France	117	facing major resurgence unprecedented hospital admissions fatalities pushing	Neutral
#Africa is facing a vicious coronavirus resurgence, with unprecedented hospital admissions and fatalities pushing h… 	2021-06-25 08:36:43	Gulf-Times	Al Hilal - C Ring Road	117	facing vicious resurgence unprecedented hospital admissions fatalities pushing h	Negative
The number of Covid-19 cases in #Africa has increased at an unprecedented pace as continent grapples amid the ongoi… 	2021-06-25 08:25:00	Business Standard	India	117	number cases increased unprecedented pace continent grapples amid ongoi	Neutral
Coronavirus – Eritrea: Announcement from the Ministry of Health (24 June 2021) @hawelti #Eritrea #Health #Pandemic… 	2021-06-25 07:16:15	APO Group English	#AFRICA #MENA	116	– eritrea announcement ministry health 24 @hawelti #eritrea	Neutral
Coronavirus - Kenya: COVID-19 update (24 June 2021) @MOH_Kenya #Kenya #Health #Pandemic #COVID19 #Testing… 	2021-06-25 07:11:38	APO Group English	#AFRICA #MENA	107	kenya update 24 @moh_kenya #kenya #testing	Neutral
#Africa is facing a vicious #coronavirus resurgence, with unprecedented hospital admissions and fatalities pushing… 	2021-06-25 06:50:39	Arab News	Saudi Arabia	116	facing vicious resurgence unprecedented hospital admissions fatalities pushing	Negative
Coronavirus - South Africa: COVID-19 Statistics in South Africa (24 June 2021) @HealthZA #SouthAfrica #Health… 	2021-06-25 06:37:08	APO Group English	#AFRICA #MENA	111	south africa statistics south africa 24 @healthza #southafrica	Neutral
Coronavirus - Eswatini: COVID-19 daily info update (24 June 2021) @EswatiniGovern1 #Eswatini #Health #Pandemic… 	2021-06-25 06:23:55	APO Group English	#AFRICA #MENA	112	eswatini daily info update 24 @eswatinigovern1 #eswatini	Neutral
Coronavirus - Rwanda: COVID-19 update (24 June 2021) @RwandaHealth #Rwanda #Health #Pandemic #COVID19 #Testing… 	2021-06-25 06:08:26	APO Group English	#AFRICA #MENA	112	rwanda update 24 @rwandahealth #rwanda #testing	Neutral
Engage with customers in real-time, and hyper-personalize customer journeys for upsell/cross sell with our digital… 	2021-06-25 05:11:40	Intense Technologies	Secunderabad, Telangana, India	116	engage customers real-time hyper-personalize customer journeys upsell cross sell digital	Neutral
MUCH Ignored #CovidCrisis 2021:#Africa Battles new #COVID19 Wave Hitting Faster &amp; Harder #CovdiEmergency2021… 	2021-06-25 00:53:25	E.H. Hau #GetVaccinated	Beautiful Vancouver, Canada	114	much ignored #covidcrisis battles wave hitting faster harder #covdiemergency2021	Positive
COVID has disrupted Africa's cotton production. Here's how soap could provide a solution 	2021-06-25 00:42:05	Supervised Feed	Web	89	disrupted africa's cotton production here's soap could provide solution	Neutral
"The #COVID19 calamity that India faced is a possible reality for #Africa. Why?
-Wave of new infections 🔄
-Not usin… "	2021-06-24 22:40:21	Global Health Strategies	NY/Delhi/Rio/Beijing/Nairobi/Joburg/London	116	calamity india faced possible reality wave infections 🔄 usin	Negative
Africa CDC says continent not winning against 'brutal' COVID-19 pandemic - @ReutersAfrica @AfricaCDC | #Africa… 	2021-06-24 22:09:55	EthiopiaOnline	United States | Ethiopia	112	africa cdc says continent winning brutal pandemic @reutersafrica @africacdc	Neutral
Africa is in danger of being left behind in the rollout of COVID-19 vaccines as countries in other regions strike b… 	2021-06-24 19:00:13	IzzSo	Trinidad & Tobago	117	africa danger left behind rollout vaccines countries regions strike b	Negative
Africa faces steepest COVID-19 surge yet @WHOAFRO #Africa #COVID19 #Health #Coronavirus #Pandemic… 	2021-06-24 16:15:14	APO Group English	#AFRICA #MENA	99	africa faces steepest surge yet @whoafro	Neutral
"As of 24 June, 44 #African countries have received #vaccines from the #Covax initiative. 
To find out more about… "	2021-06-24 13:19:02	Media Hack	South Africa	114	24 44 #african countries received #vaccines #covax initiative find	Neutral
WHO Africa COVID-19 Online Briefing @WHOAFRO  #Africa #COVID19 #Coronavirus 	2021-06-24 10:00:59	APO Group English	#AFRICA #MENA	76	africa online briefing @whoafro	Neutral
Weekly Press Briefing on the #Coronavirus Disease Outbreak @AfricaCDC #Africa #Coronavirus #COVID19 	2021-06-24 09:10:45	APO Group English	#AFRICA #MENA	100	weekly press briefing disease outbreak @africacdc	Negative
Schools in #Africa can be trained to identify and manage #Covid cases. There are other opportunities to mobile reso… 	2021-06-24 04:18:55	Nyasha Africa	Washington, DC	117	schools trained identify manage cases opportunities mobile reso	Neutral
"Work related stress depends upon many factors. Connect with us to know more.
What is the #Delta variant of #COVID-19 with K417N mutation? "				138	work related stress depends upon many factors connect know #delta variant #covid-19 k417n mutation	Neutral
Top 5 countries as at ye… 	2021-06-23 18:51:30	Beautify Data	Miramar, Florida	26	top countries ye	Positive
"Update on the total number of #covid19 cases per capita reported in #African countries. 
Top 5 countries as at yes… "	2021-06-23 18:50:30	Beautify Data	Miramar, Florida	116	update total number cases per capita reported #african countries top countries yes	Positive
"Update on the number of Active #covid19  cases in #Africa. 
As at yesterday, #SouthAfrica: 118,940 active cases, a… "	2021-06-23 18:48:16	Beautify Data	Miramar, Florida	116	update number active cases yesterday #southafrica 118,940 active cases	Neutral
"Update on the total number of #covid19 Deaths reported in #Africa. 
As at yesterday, #SouthAfrica: 59,092 total de… "	2021-06-23 18:46:11	Beautify Data	Miramar, Florida	116	update total number deaths reported yesterday #southafrica 59,092 total	Neutral
"Update on the total number of #covid19 cases reported in #Africa by date. 
As at yesterday, #SouthAfrica: 1,843,57… "	2021-06-23 18:44:47	Beautify Data	Miramar, Florida	116	update total number cases reported date yesterday #southafrica 1,843 57	Neutral
8D-RELAXING music nature sound audio 8D🎧 	2021-06-23 18:30:00	Music world (calm your mind)	Tamil Nadu	41	8d relaxing music nature sound audio 8d 🎧	Neutral
Despite growing evidence to the contrary, Tanzania's government continues to downplay the impact of coronavirus on… 	2021-06-23 14:52:00	HonorOurHeroes🇺🇸	USA	116	despite growing evidence contrary tanzania's government continues downplay impact	Neutral
Coronavirus - Malawi: COVID-19 Daily Info Update (22 June 2021) @health_malawi #Africa #Malawi #Health… 	2021-06-23 13:59:44	APO Group English	#AFRICA #MENA	104	malawi daily info update 22 @health_malawi #malawi	Neutral
Coronavirus – Eritrea: Announcement from the Ministry of Health (22 June 2021) @hawelti #Eritrea #Health #Pandemic… 	2021-06-23 09:45:27	APO Group English	#AFRICA #MENA	116	– eritrea announcement ministry health 22 @hawelti #eritrea	Neutral
"""The pandemic is worsening in #Africa as more-contagious coronavirus variants spread and hospitals in some places a… "	2021-06-23 08:36:31	Antonio Soriero	Roma	117	pandemic worsening more-contagious variants spread hospitals places	Negative
Coronavirus - Kenya: COVID-19 update (22 June 2021) @MOH_Kenya #Kenya #Health #Pandemic #COVID19 #Testing… 	2021-06-23 06:50:39	APO Group English	#AFRICA #MENA	107	kenya update 22 @moh_kenya #kenya #testing	Neutral
"#Rwanda 'Is Being Considered' for Covid-19 Vaccine Production Hub in #Africa 
"	2021-06-23 06:45:46	Seefinish Alt		78	#rwanda considered vaccine production hub	Neutral
Coronavirus - South Africa: COVID-19 Statistics in South Africa (22 June 2021) @HealthZA #SouthAfrica #Health… 	2021-06-23 06:39:12	APO Group English	#AFRICA #MENA	111	south africa statistics south africa 22 @healthza #southafrica	Neutral
Coronavirus - Eswatini: COVID-19 daily info update (22 June 2021) @EswatiniGovern1 #Eswatini #Health #Pandemic… 	2021-06-23 06:28:54	APO Group English	#AFRICA #MENA	112	eswatini daily info update 22 @eswatinigovern1 #eswatini	Neutral
Coronavirus - Rwanda: COVID-19 update (22 June 2021) @RwandaHealth #Rwanda #Health #Pandemic #COVID19 #Testing… 	2021-06-23 06:13:27	APO Group English	#AFRICA #MENA	112	rwanda update 22 @rwandahealth #rwanda #testing	Neutral
South African president, Cyril Ramaphosa, has welcomed the development and looks forward to a more responsible and… 	2021-06-23 05:54:42	The TrYbe Africa	Africa 🌍	116	south african president cyril ramaphosa welcomed development looks forward responsible	Neutral
Top-20 23rd June 2021 7am IST 🇮🇳. 	2021-06-23 03:07:57	Dr Ramesh Naidu Kataru	Vishakhapatnam, India	34	top 20 23rd 7am ist 🇮 🇳	Positive
#COVID19 is a fresh “nasty germ,“ for every continents and it is omnipresent; it’s swift &amp; flying wingless microorg… 	2021-06-23 01:27:44	gbussery	California, USA	121	fresh nasty germ every continents omnipresent swift flying wingless microorg	Positive
#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… 	2021-06-23 00:30:56	Lizzy Khumalo	London, UK	110	#wto director considering #southafrica #senegal #rwanda #nigeria production hubs	Neutral
#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… 	2021-06-23 00:30:52	Mary Asanga	Uyo	110	#wto director considering #southafrica #senegal #rwanda #nigeria production hubs	Neutral
#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… 	2021-06-23 00:30:50	UhusianoCapital		110	#wto director considering #southafrica #senegal #rwanda #nigeria production hubs	Neutral
#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… 	2021-06-23 00:30:48	Tatiana Tati	London, England	110	#wto director considering #southafrica #senegal #rwanda #nigeria production hubs	Neutral
#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… 	2021-06-23 00:30:46	Fabio Scala	London, UK	110	#wto director considering #southafrica #senegal #rwanda #nigeria production hubs	Neutral
#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… 	2021-06-23 00:30:44	Rafael Carvalho	Portugal	110	#wto director considering #southafrica #senegal #rwanda #nigeria production hubs	Neutral
#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… 	2021-06-23 00:30:41	Emmanuel	London, England	110	#wto director considering #southafrica #senegal #rwanda #nigeria production hubs	Neutral
#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… 	2021-06-23 00:30:18	Further Markets	London, England	110	#wto director considering #southafrica #senegal #rwanda #nigeria production hubs	Neutral
#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… 	2021-06-23 00:30:10	Further Africa	London, England	110	#wto director considering #southafrica #senegal #rwanda #nigeria production hubs	Neutral
Virus Surges Across Africa, Where Under 1 Percent Are Vaccinated 	2021-06-22 22:28:59	Dr. Nano	España, Unión Europea 🇪🇺	65	virus surges across africa percent vaccinated	Negative
"Are African nations doing enough to curb COVID-19?
The World Health Organization ( #WHO) is warning of a third wave… "	2021-06-22 21:46:03	Stephan Horvath	Dubai, United Arab Emirates	117	african nations enough curb world health organization #who warning third wave	Neutral
The epidemic is #worsening in #Africa as #Thomas More transmittable variants of the coronavirus distribute, vaccina… 	2021-06-22 18:55:10	Joey's Thesaurus		117	epidemic #worsening #thomas transmittable variants distribute vaccina	Negative
Amid the constant rise in daily #coronavirus cases, Namibian authorities are speeding up Oxygen importation, to avo… 	2021-06-22 16:35:24	Africa Asia News Network		117	amid constant rise daily cases namibian authorities speeding oxygen importation avo	Neutral
Doctors Without Borders (MSF) responds to mRNA COVID vaccine technology transfer hub being set up in South Africa… 	2021-06-22 16:18:09	Stefan Linnow / Van de FX / Tripp a FX	Berlin, Deutschland	115	doctors without borders msf responds mrna vaccine technology transfer hub set south africa	Neutral
"Are African nations doing enough to curb COVID-19?
The World Health Organization ( #WHO) is warning of a third wave… "	2021-06-22 15:30:41	Ideations Hive	Singapore	117	african nations enough curb world health organization #who warning third wave	Neutral
"🌍🦠⚕️🇿🇦📈
Africa sees spike in COVID infections and deaths "				57	🌍 🦠 ⚕ ️ 🇿 🇦 📈 africa sees spike infections deaths	Negative
This week:				10	week	Neutral
White House outlines a plan to send 55 million vaccine doses to #LatinAmerica, #Africa, #Asia, and elsewhere.… 	2021-06-22 14:30:06	PhilanTopic	New York, NY	111	white house outlines plan send 55 million vaccine doses #latinamerica #asia elsewhere	Neutral
"South Africa to host #COVIDvaccine tech transfer hub
- in bid to increase access to #coronavirus vaccines in… "	2021-06-22 13:35:19	Hayman Buwaneswaran Buwan, MD	Toronto	110	south africa host #covidvaccine tech transfer hub bid increase access vaccines	Neutral
"Are African nations doing enough to curb COVID-19?
The World Health Organization ( #WHO) is warning of a third wave… "	2021-06-22 10:38:06	European Global Water Forum - https://egwf.world		117	african nations enough curb world health organization #who warning third wave	Neutral
"#Virology Expert Urges Vigilance as New #MERS-CoV #Variants Emerge
There is risk that the Middle East #Respiratory… "	2021-06-22 10:36:27	Science Africa	Nairobi,Kenya	116	#virology expert urges vigilance #mers-cov #variants emerge risk middle east #respiratory	Neutral
"World Bank, African Union join forces to expand access to COVID-19 vaccines
Coronavirus - Kenya: COVID-19 update (21 June 2021) @MOH_Kenya #Kenya #Health #Pandemic #COVID19 #Testing… "				183	world bank african union join forces expand access vaccines kenya update 21 @moh_kenya #kenya #testing	Neutral
Coronavirus - Eswatini: COVID-19 daily info update (21 June 2021) @EswatiniGovern1 #Eswatini #Health #Pandemic… 	2021-06-22 06:09:47	APO Group English	#AFRICA #MENA	112	eswatini daily info update 21 @eswatinigovern1 #eswatini	Neutral
Coronavirus - Rwanda: COVID-19 update (21 June 2021) @RwandaHealth #Rwanda #Health #Pandemic #COVID19 #Testing… 	2021-06-22 05:54:00	APO Group English	#AFRICA #MENA	112	rwanda update 21 @rwandahealth #rwanda #testing	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:40	Mary Asanga	Uyo	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:38	UhusianoCapital		114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:36	Tatiana Tati	London, England	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:34	Fabio Scala	London, UK	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:32	Rafael Carvalho	Portugal	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:30	Emmanuel	London, England	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:23	Further Markets	London, England	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
#WorldBank, #AfricanUnion join forces to provide #vaccination for up to 400 million people in #Africa - #covid19… 	2021-06-22 05:30:17	Further Africa	London, England	114	#worldbank #africanunion join forces provide #vaccination 400 million people	Neutral
"Covid-19 cases in Africa reached 5.2 million 
"	2021-06-22 04:55:00	We For News	New Delhi, Delhi	46	cases africa reached 5.2 million	Neutral
"Update on the number of new #covid19 cases and deaths reported in #Africa. 

Yesterday, there were 23,056 new cases… "	2021-06-21 20:24:19	Beautify Data	Miramar, Florida	117	update number cases deaths reported yesterday 23,056 cases	Neutral
"#COVID19  is not over..not by a long shot. Still going up in UK.
One can only imagine the realities in #SAmerica… "	2021-06-21 19:47:08	Global Soul		114	.. long shot still going uk one imagine realities #samerica	Neutral
"ImPaKT team expands COVID-19 research to target ... 
"				53	impakt team expands research target	Neutral
Defence ministers will be questioned in Parli… 	2021-06-21 16:22:12	#IStandWithNaomiOsaka 🧠🎾🏆 (2x Covid Survivor)	archewell.com	47	defence ministers questioned parli	Neutral
"You can add your view

South africa with laws 

This must be done by LAW Enforcement authority daily South Africa… "	2021-06-21 15:17:00	Prince MaToTo 🤴 🤴	Cape Town, South Africa/Giyani	115	add view south africa laws must done law enforcement authority daily south africa	Neutral
Coronavirus - Rwanda: COVID-19 update (20 June 2021) @RwandaHealth #Rwanda #Health #Pandemic #COVID19 #Testing… 	2021-06-21 14:28:30	Crawford Kilian	North Vancouver, BC	112	rwanda update 20 @rwandahealth #rwanda #testing	Neutral
Global #COVID19 #Coronavirus Pandemic - 22 #Africa countries cases rise by over 20% last week, with #DRC Democratic… 	2021-06-21 12:24:00	R.E.A.L Human Rights	Washington DC	117	global pandemic 22 countries cases rise 20 last week #drc democratic	Neutral
"#Covid learning challenge! 
Isn't about time that #HomeSchooling be given enough attention and framework for accred… "	2021-06-21 12:16:03	CONGOLESTIC ~ Inno▪Net▪Tech▪Botics	Democratic Republic of Congo	117	learning challenge time #homeschooling given enough attention framework accred	Positive
"Covid-19: Delta variant confirmed in #Mozambique
"				49	delta variant confirmed #mozambique	Neutral
